therapy_label,disease_label,drug_label,raw_text,geneProtein_label,metastatic,firstLine,acceleratedApproval,negGeProDr_label
Entrectinib,Solid tumors,ROZLYTREK- entrectinib capsule,,*,,,,
Entrectinib,Non-small cell lung cancer,ROZLYTREK- entrectinib capsule,,*,,,,
Enzalutamide,Prostate cancer,XTANDI- enzalutamide capsule,,*,,,,
Epcoritamab-bysp,high-grade B-cell lymphoma,"EPKINLY- epcoritamab-bysp injection, solution",,*,,,,
Epcoritamab-bysp,Diffuse large B-cell lymphoma,"EPKINLY- epcoritamab-bysp injection, solution",,*,,,,
Epcoritamab-bysp,Follicular lymphoma,"EPKINLY- epcoritamab-bysp injection, solution","

EPKINLY is indicated in combination with lenalidomide and rituximab for the treatment of adult patients with relapsed or refractory follicular lymphoma (FL).


EPKINLY is indicated as monotherapy for the treatment of adult patients with relapsed or refractory FL after two or more lines of systemic therapy.",FL,,,,
Epirubicin Hydrochloride,Breast cancer,,,*,,,,
Epcoritamab-bysp,high-grade B-cell lymphoma,"EPKINLY- epcoritamab-bysp injection, solution",,*,,,,
Epcoritamab-bysp,Diffuse large B-cell lymphoma,"EPKINLY- epcoritamab-bysp injection, solution",,*,,,,
Epcoritamab-bysp,Follicular lymphoma,"EPKINLY- epcoritamab-bysp injection, solution","

EPKINLY is indicated in combination with lenalidomide and rituximab for the treatment of adult patients with relapsed or refractory follicular lymphoma (FL).


EPKINLY is indicated as monotherapy for the treatment of adult patients with relapsed or refractory FL after two or more lines of systemic therapy.",FL,,,,
Epoetin Alfa,Anemia,EPOGEN- epoetin alfa solution,"
Epogen is indicated for the treatment of anemia due to chronic kidney disease (CKD), including patients on dialysis and not on dialysis to decrease the need for red blood cell (RBC) transfusion.
 


1.2 		      	Anemia Due to Zidovudine in Patients with HIV Infection
Epogen is indicated for the treatment of anemia due to zidovudine administered at ≤ 4200 mg/week in patients with HIV infection with endogenous serum erythropoietin levels of ≤ 500 mUnits/mL.
 


1.3 		      	Anemia Due to Chemotherapy in Patients with Cancer
Epogen is indicated for the treatment of anemia in patients with non-myeloid malignancies where anemia is due to the effect of concomitant myelosuppressive chemotherapy, and upon initiation, there is a minimum of two additional months of planned chemotherapy.",*,,,,
Epoetin Alfa,Anemia,EPOGEN- epoetin alfa solution,"
Epogen is indicated for the treatment of anemia due to chronic kidney disease (CKD), including patients on dialysis and not on dialysis to decrease the need for red blood cell (RBC) transfusion.
 


1.2 		      	Anemia Due to Zidovudine in Patients with HIV Infection
Epogen is indicated for the treatment of anemia due to zidovudine administered at ≤ 4200 mg/week in patients with HIV infection with endogenous serum erythropoietin levels of ≤ 500 mUnits/mL.
 


1.3 		      	Anemia Due to Chemotherapy in Patients with Cancer
Epogen is indicated for the treatment of anemia in patients with non-myeloid malignancies where anemia is due to the effect of concomitant myelosuppressive chemotherapy, and upon initiation, there is a minimum of two additional months of planned chemotherapy.",*,,,,
Cetuximab,Colorectal cancer,ERBITUX- cetuximab solution,"
ERBITUX is indicated for the treatment of K-Ras wild-type, epidermal growth factor receptor (EGFR)-expressing, metastatic colorectal cancer (mCRC) as determined by an FDA-approved test [see
Dosage and Administration (2.2)]:


in combination with FOLFIRI (irinotecan, fluorouracil, leucovorin) for first-line treatment,

in combination with irinotecan in patients who are refractory to irinotecan-based chemotherapy,

as a single-agent in patients who have failed oxaliplatin- and irinotecan-based chemotherapy or who are intolerant to irinotecan.



Limitations of Use: ERBITUX is not indicated for treatment of Ras-mutant colorectal cancer or when the results of the Ras mutation tests are unknown [see Warnings and Precautions (5.7)].","Ras, K-Ras, epidermal growth factor receptor",Yes,Yes,,
Cetuximab,Squamous cell carcinoma of the head and neck,ERBITUX- cetuximab solution,"
ERBITUX® is indicated:


in combination with radiation therapy for the initial treatment of locally or regionally advanced squamous cell carcinoma of the head and neck (SCCHN).

in combination with platinum-based therapy with fluorouracil for the first-line treatment of patients with recurrent locoregional disease or metastatic SCCHN.

as a single-agent for the treatment of patients with recurrent or metastatic SCCHN for whom prior platinum-based therapy has failed.",*,Yes,Yes,,
Erdafitinib,Urothelial carcinoma,"BALVERSA- erdafitinib tablet, film coated",,*,,,,
Eribulin Mesylate,Breast cancer,HALAVEN- eribulin mesylate injection,,*,,,,
Eribulin Mesylate,Liposarcoma,HALAVEN- eribulin mesylate injection,,*,,,,
Vismodegib,Basal cell carcinoma,ERIVEDGE- vismodegib capsule,,*,,,,
Apalutamide,Prostatecancer.,"ERLEADA- apalutamide tablet, film coated",,*,,,,
Erlotinib Hydrochloride,Pancreatic cancer,,,*,,,,
Erlotinib Hydrochloride,Non-small cell lung cancer,,,*,,,,
Asparaginase Erwinia Chrysanthemi,Acute lymphoblastic leukemia,,,*,,,,
Amifostine,Renal (kidney) toxicity,ETHYOL- amifostine injection,,*,,,,
Amifostine,Xerostomia,ETHYOL- amifostine injection,"
ETHYOL is indicated to reduce the incidence of moderate to severe xerostomia in patients undergoing post-operative radiation treatment for head and neck cancer, where the radiation port includes a substantial portion of the parotid glands
 
  [see
  
   Clinical Studies (14.2)]
 
  .

 

Limitation of Use

Do not use ETHYOL in other settings where chemotherapy can produce a significant survival benefit or cure
 
  [seeWarnings and Precautions (5.1)]﻿, or in patients receiving definitive radiotherapy
 
  [seeWarnings and Precautions (5.2)], except in the context of a clinical study.",*,,,,
Etoposide Phosphate,Small cell lung cancer,,,*,,,,
Etoposide Phosphate,Testicular cancer,,,*,,,,
Etoposide,Small cell lung cancer,,,*,,,,
Etoposide,Testicular cancer,,,*,,,,
Etoposide Phosphate,Small cell lung cancer,,,*,,,,
Etoposide Phosphate,Testicular cancer,,,*,,,,
Everolimus,Renal cell carcinoma,,,*,,,,
Everolimus,Pancreatic neuroendocrine tumors,,,*,,,,
Everolimus,Neuroendocrine tumors,,,*,,,,
Everolimus,Breast cancer,,,*,,,,
Everolimus,Subependymal giant cell astrocytoma,,,*,,,,
Raloxifene Hydrochloride,Breast cancer,,,*,,,,
Raloxifene Hydrochloride,Osteoporosis,,,*,,,,
Melphalan Hydrochloride,Multiple myeloma,,,*,,,,
Melphalan Hydrochloride,Uveal melanoma,,,*,,,,
Exemestane,breast cancer,,,*,,,,
Fluorouracil Injection ,Pancreatic cancer,"FLUOROURACIL injection, solution",,*,,,,
Fluorouracil Injection ,Colorectal cancer,"FLUOROURACIL injection, solution",,*,,,,
Fluorouracil Injection ,Breast cancer,"FLUOROURACIL injection, solution",,*,,,,
Fluorouracil Injection ,Gastric (stomach) cancer,"FLUOROURACIL injection, solution",,*,,,,
Fluorouracil (Topical),Actinic keratosis,,,*,,,,
Fam-Trastuzumab Deruxtecan-nxki,Solid tumors,"ENHERTU- fam-trastuzumab deruxtecan-nxki injection, powder, lyophilized, for solution","
ENHERTU, as monotherapy, is indicated for the treatment of adult patients with unresectable or metastatic HER2-positive (IHC 3+) solid tumors who have received prior systemic treatment and have no satisfactory alternative treatment options.
This indication is approved under accelerated approval based on objective response rate and duration of response [see Clinical Studies (14.5)]. Continued approval for this indication may be contingent upon verification and description of clinical benefit in a confirmatory trial.",*,Yes,,Yes,
Fam-Trastuzumab Deruxtecan-nxki,gastroesophageal junction cancer,"ENHERTU- fam-trastuzumab deruxtecan-nxki injection, powder, lyophilized, for solution",,*,,,,
Fam-Trastuzumab Deruxtecan-nxki,Non-small cell lung cancer,"ENHERTU- fam-trastuzumab deruxtecan-nxki injection, powder, lyophilized, for solution","
ENHERTU, as monotherapy, is indicated for the treatment of adult patients with unresectable or metastatic non-small cell lung cancer (NSCLC) whose tumors have activating HER2 (ERBB2) mutations, as detected by an FDA-approved test, and who have received a prior systemic therapy.
This indication is approved under accelerated approval based on objective response rate and duration of response [see Clinical Studies (14.3)]. Continued approval for this indication may be contingent upon verification and description of clinical benefit in a confirmatory trial.","ERBB2, HER2",Yes,,Yes,
Fam-Trastuzumab Deruxtecan-nxki,Gastric (stomach) cancer,"ENHERTU- fam-trastuzumab deruxtecan-nxki injection, powder, lyophilized, for solution",,*,,,,
Fam-Trastuzumab Deruxtecan-nxki,Breast cancer,"ENHERTU- fam-trastuzumab deruxtecan-nxki injection, powder, lyophilized, for solution","


ENHERTU, in combination with pertuzumab, is indicated for the first-line treatment of adult patients with unresectable or metastatic HER2-positive (IHC 3+ or ISH+) breast cancer, as determined by an FDA-approved test [see Dosage and Administration (2.1)].


ENHERTU, as monotherapy, is indicated for the treatment of adult patients with unresectable or metastatic HER2-positive (IHC 3+ or ISH+) breast cancer who have received a prior anti-HER2-based regimen either in the metastatic setting, or, in the neoadjuvant or adjuvant setting and have developed disease recurrence during or within six months of completing therapy.


 


1.2	HER2-Low and HER2-Ultralow Metastatic Breast Cancer

ENHERTU, as monotherapy, is indicated for the treatment of adult patients with unresectable or metastatic 



Hormone receptor (HR)-positive HER2-low (IHC 1+ or IHC 2+/ISH-) or HER2-ultralow (IHC 0 with membrane staining) breast cancer, as determined by an FDA-approved test, that has progressed on one or more endocrine therapies in the metastatic setting [see Dosage and Administration (2.1)].


HER2-low (IHC 1+ or IHC 2+/ISH-) breast cancer, as determined by an FDA-approved test, who have received a prior chemotherapy in the metastatic setting or developed disease recurrence during or within 6 months of completing adjuvant chemotherapy [see Dosage and Administration (2.1)].",ISH+,Yes,Yes,,
Toremifene Citrate,Breast cancer,FARESTON- toremifene citrate tablet,,*,,,,
Fulvestrant,Breast cancer,FASLODEX- fulvestrant injection,,*,,,,
Fedratinib Hydrochloride,Myelofibrosis,INREBIC- fedratinib hydrochloride capsule,,*,,,,
Letrozole,breast cancer,,,*,,,,
Filgrastim,Neutropenia,,,*,,,,
Degarelix,Prostate cancer,FIRMAGON- degarelix kit,,*,,,,
Fludarabine Phosphate,B-cell  chronic lymphocytic leukemia (CLL,,,*,,,,
Fluorouracil (Topical),Actinic keratosis,,,*,,,,
Fluorouracil Injection ,Pancreatic cancer,"FLUOROURACIL injection, solution",,*,,,,
Fluorouracil Injection ,Colorectal cancer,"FLUOROURACIL injection, solution",,*,,,,
Fluorouracil Injection ,Breast cancer,"FLUOROURACIL injection, solution",,*,,,,
Fluorouracil Injection ,Gastric (stomach) cancer,"FLUOROURACIL injection, solution",,*,,,,
Fluorouracil (Topical),Actinic keratosis,,,*,,,,
Flutamide,Prostate cancer,,,*,,,,
Pralatrexate,Peripheral T-cell lymphoma,,,*,,,,
Fostamatinib Disodium,Thrombocytopenia,TAVALISSE- fostamatinib tablet,,*,,,,
Tivozanib Hydrochloride,Renal cell carcinoma,FOTIVDA- tivozanib capsule,,*,,,,
Fruquintinib,Colorectal cancer,FRUZAQLA- fruquintinib capsule,,*,,,,
Fruquintinib,Colorectal cancer,FRUZAQLA- fruquintinib capsule,,*,,,,
Pegfilgrastim,Neutropenia,NEULASTA- pegfilgrastim kit,,*,,,,
Fulvestrant,Breast cancer,FASLODEX- fulvestrant injection,,*,,,,
Sirolimus Protein-Bound Particles,Perivascular epithelioid cell tumors,"FYARRO- sirolimus injection, powder, lyophilized, for suspension",,*,,,,
Emapalumab-lzsg,Hemophagocytic lymphohistiocytosis,,,*,,,,
Recombinant Human Papillomavirus (HPV) Quadrivalent Vaccine,Lesions,,,*,,,,
Recombinant Human Papillomavirus (HPV) Quadrivalent Vaccine,Cervical cancer,,,*,,,,
Recombinant Human Papillomavirus (HPV) Quadrivalent Vaccine,Anal cancer,,,*,,,,
Recombinant Human Papillomavirus (HPV) Quadrivalent Vaccine,Vulvar cancer,,,*,,,,
Recombinant Human Papillomavirus (HPV) Quadrivalent Vaccine,Vaginal cancer,,,*,,,,
Recombinant Human Papillomavirus (HPV) Quadrivalent Vaccine,Genital warts,,,*,,,,
Recombinant Human Papillomavirus (HPV) Nonavalent Vaccine,Lesions,"GARDASIL 9- human papillomavirus 9-valent vaccine, recombinant injection, suspension",,*,,,,
Recombinant Human Papillomavirus (HPV) Nonavalent Vaccine,Cervical cancer,"GARDASIL 9- human papillomavirus 9-valent vaccine, recombinant injection, suspension",,*,,,,
Recombinant Human Papillomavirus (HPV) Nonavalent Vaccine,Anal cancer,"GARDASIL 9- human papillomavirus 9-valent vaccine, recombinant injection, suspension",,*,,,,
Recombinant Human Papillomavirus (HPV) Nonavalent Vaccine,Vulvar cancer,"GARDASIL 9- human papillomavirus 9-valent vaccine, recombinant injection, suspension",,*,,,,
Recombinant Human Papillomavirus (HPV) Nonavalent Vaccine,Vaginal cancer,"GARDASIL 9- human papillomavirus 9-valent vaccine, recombinant injection, suspension",,*,,,,
Recombinant Human Papillomavirus (HPV) Nonavalent Vaccine,Head and neck cancer,"GARDASIL 9- human papillomavirus 9-valent vaccine, recombinant injection, suspension",,*,,,,
Recombinant Human Papillomavirus (HPV) Nonavalent Vaccine,Genital warts,"GARDASIL 9- human papillomavirus 9-valent vaccine, recombinant injection, suspension",,*,,,,
Pralsetinib,Thyroid cancer,,,*,,,,
Pralsetinib,Non-small cell lung cancer,,,*,,,,
Obinutuzumab,Chronic lymphocytic leukemia,"GAZYVA- obinutuzumab injection, solution, concentrate","
GAZYVA, in combination with chlorambucil, is indicated for the treatment of patients with previously untreated chronic lymphocytic leukemia.",*,,Yes,,
Obinutuzumab,Follicular lymphoma,"GAZYVA- obinutuzumab injection, solution, concentrate","
GAZYVA, in combination with bendamustine followed by GAZYVA monotherapy, is indicated for the treatment of patients with follicular lymphoma who relapsed after, or are refractory to, a rituximab-containing regimen.

GAZYVA, in combination with chemotherapy followed by GAZYVA monotherapy in patients achieving at least a partial remission, is indicated for the treatment of adult patients with previously untreated stage II bulky, III or IV follicular lymphoma.",*,,Yes,,
Gefitinib,Non-small cell lung cancer,"IRESSA- gefitinib tablet, coated",,*,,,,
Gemcitabine Hydrochloride,Pancreatic cancer,,,*,,,,
Gemcitabine Hydrochloride,Ovarian cancer,,,*,,,,
Gemcitabine Hydrochloride,Breast cancer,,,*,,,,
Gemcitabine Hydrochloride,Non-small cell lung cancer,,,*,,,,
Gemcitabine Hydrochloride,Pancreatic cancer,,,*,,,,
Gemcitabine Hydrochloride,Ovarian cancer,,,*,,,,
Gemcitabine Hydrochloride,Breast cancer,,,*,,,,
Gemcitabine Hydrochloride,Non-small cell lung cancer,,,*,,,,
Afatinib Dimaleate,Non-small cell lung cancer,"GILOTRIF- afatinib tablet, film coated","
GILOTRIF is indicated for the first-line treatment of patients with metastatic non-small cell lung cancer (NSCLC) whose tumors have non-resistant epidermal growth factor receptor (EGFR) mutations as detected by an FDA-approved test [see Dosage and Administration (2.1), Clinical Pharmacology (12.1), Clinical Studies (14.1)].





Limitations of Use: The safety and efficacy of GILOTRIF have not been established in patients whose tumors have resistant EGFR mutations [see Clinical Studies (14.1)].","EGFR, epidermal growth factor receptor",Yes,Yes,,
Gilteritinib Fumarate,Acute myeloid leukemia,XOSPATA- gilteritinib tablet,"
XOSPATA is indicated for the treatment of adult patients who have relapsed or refractory acute myeloid leukemia (AML) with a FMS-like tyrosine kinase 3 (FLT3) mutation as detected by an FDA-approved test.","FMS-like tyrosine kinase 3, FLT3",,,,
Glasdegib Maleate,Acute myeloid leukemia,"DAURISMO- glasdegib tablet, film coated",,*,,,,
Imatinib Mesylate,Systemic mastocytosis,GLEEVEC- imatinib mesylate tablet,"
Adult patients with aggressive systemic mastocytosis without the D816V c-Kit mutation or with c-Kit mutational status unknown.",c-Kit,,,,
Imatinib Mesylate,hypereosinophilic syndrome,GLEEVEC- imatinib mesylate tablet,"
Adult patients with hypereosinophilic syndrome and/or chronic eosinophilic leukemia who have the FIP1L1-PDGFRα fusion kinase (mutational analysis or fluorescence in situ hybridization [FISH] demonstration of CHIC2 allele deletion) and for patients with HES and/or CEL who are FIP1L1-PDGFRα fusion kinase negative or unknown.","CHIC2, FIP1L1-PDGFRα, HES, FIP1L1-PDGFRα fusion kinase",,,,
Imatinib Mesylate,Myelodysplastic/myeloproliferative neoplasms,GLEEVEC- imatinib mesylate tablet,,*,,,,
Imatinib Mesylate,Gastrointestinal stromal tumor,GLEEVEC- imatinib mesylate tablet,"
Patients with Kit (CD117) positive unresectable and/or metastatic malignant gastrointestinal stromal tumors.",CD117,Yes,,,
Imatinib Mesylate,Chronic myelogenous leukemia,GLEEVEC- imatinib mesylate tablet,,*,,,,
Imatinib Mesylate,Dermatofibrosarcoma protuberans,GLEEVEC- imatinib mesylate tablet,"
Adult patients with unresectable, recurrent and/or metastatic dermatofibrosarcoma protuberans.",*,Yes,,,
Imatinib Mesylate,Chronic eosinophilic leukemia,GLEEVEC- imatinib mesylate tablet,"
Adult patients with hypereosinophilic syndrome and/or chronic eosinophilic leukemia who have the FIP1L1-PDGFRα fusion kinase (mutational analysis or fluorescence in situ hybridization [FISH] demonstration of CHIC2 allele deletion) and for patients with HES and/or CEL who are FIP1L1-PDGFRα fusion kinase negative or unknown.","CHIC2, FIP1L1-PDGFRα, HES, FIP1L1-PDGFRα fusion kinase",,,,
Imatinib Mesylate,Acute lymphoblastic leukemia,GLEEVEC- imatinib mesylate tablet,"
Adult patients with relapsed or refractory Philadelphia chromosome positive acute lymphoblastic leukemia (Ph+ ALL).
 


1.4
								     
								Pediatric Patients With Ph+ Acute Lymphoblastic Leukemia (ALL)
Pediatric patients with newly diagnosed Philadelphia chromosome positive acute lymphoblastic leukemia (Ph+ ALL) in combination with chemotherapy.",Philadelphia,,,,
Carmustine Implant,Glioblastoma multiforme,GLIADEL- carmustine wafer,,*,,,,
Carmustine Implant,Malignant glioma,GLIADEL- carmustine wafer,,*,,,,
Glofitamab-gxbm,B-cell non-Hodgkin lymphoma,COLUMVI- glofitamab concentrate,,*,,,,
Glucarpidase,Toxic blood levels of the anticancer drug methotrexate,"VORAXAZE- glucarpidase injection, powder, for solution",,*,,,,
Goserelin Acetate,Prostate cancer,,,*,,,,
Goserelin Acetate,Breast cancer,,,*,,,,
Treosulfan,"
myelodysplasticsyndrome
","GRAFAPEX- treosulfan injection, powder, lyophilized, for solution",,*,,,,
Treosulfan,"
acutemyeloidleukemia
","GRAFAPEX- treosulfan injection, powder, lyophilized, for solution",,*,,,,
Granisetron,Nausea and vomiting,SUSTOL- granisetron injection,,*,,,,
Granisetron Hydrochloride,Nausea and vomiting,,,*,,,,
Filgrastim,Neutropenia,,,*,,,,
Eribulin Mesylate,Breast cancer,HALAVEN- eribulin mesylate injection,,*,,,,
Eribulin Mesylate,Liposarcoma,HALAVEN- eribulin mesylate injection,,*,,,,
Propranolol Hydrochloride,Infantile hemangioma,,,*,,,,
Melphalan Hydrochloride,Multiple myeloma,,,*,,,,
Melphalan Hydrochloride,Uveal melanoma,,,*,,,,
Trastuzumab and Hyaluronidase-oysk,Breast cancer,"HERCEPTIN HYLECTA- trastuzumab and hyaluronidase-oysk injection, solution","
HERCEPTIN HYLECTA is indicated for adjuvant treatment of adults with HER2 overexpressing node positive or node negative (ER/PR negative or with one high risk feature [see Clinical Studies (14.1)]) breast cancer:

as part of a treatment regimen consisting of doxorubicin, cyclophosphamide, and either paclitaxel or docetaxel
as part of a treatment regimen with docetaxel and carboplatin
as a single agent following multi-modality anthracycline based therapy. 

Select patients for therapy based on an FDA-approved companion diagnostic for trastuzumab [see Dosage and Administration (2.2)].
 


1.2	Metastatic Breast Cancer
HERCEPTIN HYLECTA is indicated in adults:

In combination with paclitaxel for first-line treatment of HER2-overexpressing metastatic breast cancer
As a single agent for treatment of HER2-overexpressing breast cancer in patients who have received one or more chemotherapy regimens for metastatic disease.

Select patients for therapy based on an FDA-approved companion diagnostic for trastuzumab [see Dosage and Administration (2.2)].","ER/PR, HER2",Yes,Yes,,
Trastuzumab,Stomach adenocarcinoma,"HERCEPTIN- trastuzumab injection, powder, lyophilized, for solution",,*,,,,
Trastuzumab,gastroesophageal junction adenocarcinoma,"HERCEPTIN- trastuzumab injection, powder, lyophilized, for solution",,*,,,,
Trastuzumab,Breast cancer,"HERCEPTIN- trastuzumab injection, powder, lyophilized, for solution","
Herceptin is indicated in adults for adjuvant treatment of HER2 overexpressing node positive or node negative (ER/PR negative or with one high risk feature [see Clinical Studies (14.1)]) breast cancer

as part of a treatment regimen consisting of doxorubicin, cyclophosphamide, and either paclitaxel or docetaxel
as part of a treatment regimen with docetaxel and carboplatin 
as a single agent following multi-modality anthracycline based therapy. 

Select patients for therapy based on an FDA-approved companion diagnostic for Herceptin [see Dosage and Administration (2.2)].
 


1.2	 Metastatic Breast Cancer
Herceptin is indicated in adults:

In combination with paclitaxel for first-line treatment of HER2-overexpressing metastatic breast cancer
As a single agent for treatment of HER2-overexpressing breast cancer in patients who have received one or more chemotherapy regimens for metastatic disease. 

Select patients for therapy based on an FDA-approved companion diagnostic for Herceptin [see Dosage and Administration (2.2)].","ER/PR, HER2",Yes,Yes,,
Recombinant Human Papillomavirus (HPV) Nonavalent Vaccine,Lesions,"GARDASIL 9- human papillomavirus 9-valent vaccine, recombinant injection, suspension",,*,,,,
Recombinant Human Papillomavirus (HPV) Nonavalent Vaccine,Cervical cancer,"GARDASIL 9- human papillomavirus 9-valent vaccine, recombinant injection, suspension",,*,,,,
Recombinant Human Papillomavirus (HPV) Nonavalent Vaccine,Anal cancer,"GARDASIL 9- human papillomavirus 9-valent vaccine, recombinant injection, suspension",,*,,,,
Recombinant Human Papillomavirus (HPV) Nonavalent Vaccine,Vulvar cancer,"GARDASIL 9- human papillomavirus 9-valent vaccine, recombinant injection, suspension",,*,,,,
Recombinant Human Papillomavirus (HPV) Nonavalent Vaccine,Vaginal cancer,"GARDASIL 9- human papillomavirus 9-valent vaccine, recombinant injection, suspension",,*,,,,
Recombinant Human Papillomavirus (HPV) Nonavalent Vaccine,Head and neck cancer,"GARDASIL 9- human papillomavirus 9-valent vaccine, recombinant injection, suspension",,*,,,,
Recombinant Human Papillomavirus (HPV) Nonavalent Vaccine,Genital warts,"GARDASIL 9- human papillomavirus 9-valent vaccine, recombinant injection, suspension",,*,,,,
Recombinant Human Papillomavirus (HPV) Quadrivalent Vaccine,Lesions,,,*,,,,
Recombinant Human Papillomavirus (HPV) Quadrivalent Vaccine,Cervical cancer,,,*,,,,
Recombinant Human Papillomavirus (HPV) Quadrivalent Vaccine,Anal cancer,,,*,,,,
Recombinant Human Papillomavirus (HPV) Quadrivalent Vaccine,Vulvar cancer,,,*,,,,
Recombinant Human Papillomavirus (HPV) Quadrivalent Vaccine,Vaginal cancer,,,*,,,,
Recombinant Human Papillomavirus (HPV) Quadrivalent Vaccine,Genital warts,,,*,,,,
Topotecan Hydrochloride,Small cell lung cancer,,,*,,,,
Topotecan Hydrochloride,Ovarian cancer,,,*,,,,
Topotecan Hydrochloride,Cervical cancer,,,*,,,,
Hydroxyurea,Chronic myelogenous leukemia,,,*,,,,
Hydroxyurea,Squamous cell carcinoma of the head and neck,,,*,,,,
Hydroxyurea,Chronic myelogenous leukemia,,,*,,,,
Hydroxyurea,Squamous cell carcinoma of the head and neck,,,*,,,,
Palbociclib,Breast cancer,IBRANCE- palbociclib capsule,,*,,,,
Ibritumomab Tiuxetan,B-cell follicular non-Hodgkin lymphoma,,,*,,,,
Ibrutinib,Chronic lymphocytic leukemia,IMBRUVICA- ibrutinib capsule,,*,,,,
Ibrutinib,small lymphocytic lymphoma,IMBRUVICA- ibrutinib capsule,,*,,,,
Ibrutinib,Waldenström macroglobulinemia,IMBRUVICA- ibrutinib capsule,,*,,,,
Ponatinib Hydrochloride,Acute lymphoblastic leukemia,"ICLUSIG- ponatinib hydrochloride tablet, film coated",,*,,,,
Ponatinib Hydrochloride,Chronic myelogenous leukemia,"ICLUSIG- ponatinib hydrochloride tablet, film coated",,*,,,,
Idarubicin Hydrochloride,Acute myeloid leukemia,,,*,,,,
Idarubicin Hydrochloride,Acute myeloid leukemia,,,*,,,,
Idecabtagene Vicleucel,multiple myeloma,ABECMA- idecabtagene vicleucel suspension,,*,,,,
Idelalisib,Chronic lymphocytic leukemia,"ZYDELIG- idelalisib tablet, film coated",,*,,,,
Enasidenib Mesylate,Acute myeloid leukemia,"IDHIFA- enasidenib mesylate tablet, film coated","
IDHIFA is indicated for the treatment of adult patients with relapsed or refractory acute myeloid leukemia (AML) with an isocitrate dehydrogenase-2 (IDH2) mutation as detected by an FDA-approved test.","isocitrate dehydrogenase-2, IDH2",,,,
Ifosfamide,Testicular germ cell tumors,"IFEX- ifosfamide injection, powder, for solution",,*,,,,
Ifosfamide,Testicular germ cell tumors,"IFEX- ifosfamide injection, powder, for solution",,*,,,,
Aldesleukin,Renal cell carcinoma,"PROLEUKIN- aldesleukin injection, powder, lyophilized, for solution",,*,,,,
Aldesleukin,Melanoma,"PROLEUKIN- aldesleukin injection, powder, lyophilized, for solution",,*,,,,
Imatinib Mesylate,Systemic mastocytosis,GLEEVEC- imatinib mesylate tablet,"
Adult patients with aggressive systemic mastocytosis without the D816V c-Kit mutation or with c-Kit mutational status unknown.",c-Kit,,,,
Imatinib Mesylate,hypereosinophilic syndrome,GLEEVEC- imatinib mesylate tablet,"
Adult patients with hypereosinophilic syndrome and/or chronic eosinophilic leukemia who have the FIP1L1-PDGFRα fusion kinase (mutational analysis or fluorescence in situ hybridization [FISH] demonstration of CHIC2 allele deletion) and for patients with HES and/or CEL who are FIP1L1-PDGFRα fusion kinase negative or unknown.","CHIC2, FIP1L1-PDGFRα, HES, FIP1L1-PDGFRα fusion kinase",,,,
Imatinib Mesylate,Myelodysplastic/myeloproliferative neoplasms,GLEEVEC- imatinib mesylate tablet,,*,,,,
Imatinib Mesylate,Gastrointestinal stromal tumor,GLEEVEC- imatinib mesylate tablet,"
Patients with Kit (CD117) positive unresectable and/or metastatic malignant gastrointestinal stromal tumors.",CD117,Yes,,,
Imatinib Mesylate,Chronic myelogenous leukemia,GLEEVEC- imatinib mesylate tablet,,*,,,,
Imatinib Mesylate,Dermatofibrosarcoma protuberans,GLEEVEC- imatinib mesylate tablet,"
Adult patients with unresectable, recurrent and/or metastatic dermatofibrosarcoma protuberans.",*,Yes,,,
Imatinib Mesylate,Chronic eosinophilic leukemia,GLEEVEC- imatinib mesylate tablet,"
Adult patients with hypereosinophilic syndrome and/or chronic eosinophilic leukemia who have the FIP1L1-PDGFRα fusion kinase (mutational analysis or fluorescence in situ hybridization [FISH] demonstration of CHIC2 allele deletion) and for patients with HES and/or CEL who are FIP1L1-PDGFRα fusion kinase negative or unknown.","CHIC2, FIP1L1-PDGFRα, HES, FIP1L1-PDGFRα fusion kinase",,,,
Imatinib Mesylate,Acute lymphoblastic leukemia,GLEEVEC- imatinib mesylate tablet,"
Adult patients with relapsed or refractory Philadelphia chromosome positive acute lymphoblastic leukemia (Ph+ ALL).
 


1.4
								     
								Pediatric Patients With Ph+ Acute Lymphoblastic Leukemia (ALL)
Pediatric patients with newly diagnosed Philadelphia chromosome positive acute lymphoblastic leukemia (Ph+ ALL) in combination with chemotherapy.",Philadelphia,,,,
Ibrutinib,Chronic lymphocytic leukemia,IMBRUVICA- ibrutinib capsule,,*,,,,
Ibrutinib,small lymphocytic lymphoma,IMBRUVICA- ibrutinib capsule,,*,,,,
Ibrutinib,Waldenström macroglobulinemia,IMBRUVICA- ibrutinib capsule,,*,,,,
Tarlatamab-dlle,Small cell lung cancer,IMDELLTRA (AMG757)- tarlatamab-dlle kit,,*,,,,
Imetelstat Sodium,Myelodysplastic syndrome,"RYTELO- imetelstat sodium injection, powder, lyophilized, for solution",,*,,,,
Durvalumab,hepatocellular carcinoma,"IMFINZI- durvalumab injection, solution","
IMFINZI, in combination with tremelimumab-actl, is indicated for the treatment of adult patients with unresectable hepatocellular carcinoma (uHCC).",IMFINZI,,,,
Durvalumab,bladder cancer,"IMFINZI- durvalumab injection, solution","
IMFINZI in combination with gemcitabine and cisplatin as neoadjuvant treatment, followed by single agent IMFINZI as adjuvant treatment following radical cystectomy, is indicated for the treatment of adult patients with muscle invasive bladder cancer (MIBC).",IMFINZI,,,,
